INFO 2025-08-16 09:21:29,203 autoreload 8764 13136 Watching for file changes with StatReloader
INFO 2025-08-16 09:21:47,105 autoreload 8764 13136 C:\Users\albur\Desktop\leanmaker\Backend\projects\views.py changed, reloading.
INFO 2025-08-16 09:21:47,754 signals 7232 19884 Signals de notificaciones conectados exitosamente
INFO 2025-08-16 09:21:47,774 autoreload 7232 19884 Watching for file changes with StatReloader
INFO 2025-08-16 09:21:54,448 autoreload 7232 19884 C:\Users\albur\Desktop\leanmaker\Backend\projects\views.py changed, reloading.
INFO 2025-08-16 09:21:55,165 signals 22156 11340 Signals de notificaciones conectados exitosamente
INFO 2025-08-16 09:21:55,181 autoreload 22156 11340 Watching for file changes with StatReloader
INFO 2025-08-16 09:22:32,485 autoreload 22156 11340 C:\Users\albur\Desktop\leanmaker\Backend\projects\views.py changed, reloading.
INFO 2025-08-16 09:22:33,367 signals 19272 8872 Signals de notificaciones conectados exitosamente
INFO 2025-08-16 09:22:33,367 autoreload 19272 8872 Watching for file changes with StatReloader
INFO 2025-08-16 09:22:41,054 autoreload 19272 8872 C:\Users\albur\Desktop\leanmaker\Backend\projects\views.py changed, reloading.
INFO 2025-08-16 09:22:41,750 signals 11864 17484 Signals de notificaciones conectados exitosamente
INFO 2025-08-16 09:22:41,759 autoreload 11864 17484 Watching for file changes with StatReloader
INFO 2025-08-16 09:22:48,422 autoreload 11864 17484 C:\Users\albur\Desktop\leanmaker\Backend\projects\views.py changed, reloading.
INFO 2025-08-16 09:22:49,071 signals 16668 18288 Signals de notificaciones conectados exitosamente
INFO 2025-08-16 09:22:49,087 autoreload 16668 18288 Watching for file changes with StatReloader
INFO 2025-08-16 09:23:56,958 autoreload 16668 18288 C:\Users\albur\Desktop\leanmaker\Backend\projects\views.py changed, reloading.
INFO 2025-08-16 09:23:57,752 signals 15112 11580 Signals de notificaciones conectados exitosamente
INFO 2025-08-16 09:23:57,764 autoreload 15112 11580 Watching for file changes with StatReloader
INFO 2025-08-16 09:24:38,818 middleware 15112 10280 Petición: POST /api/token/ - IP: 127.0.0.1
INFO 2025-08-16 09:24:39,260 middleware 15112 10280 Respuesta: 200 - POST /api/token/
INFO 2025-08-16 09:24:39,323 basehttp 15112 10280 "POST /api/token/ HTTP/1.1" 200 1224
INFO 2025-08-16 09:24:39,341 middleware 15112 18044 Petición: GET /api/users/profile/ - IP: 127.0.0.1
INFO 2025-08-16 09:24:39,341 middleware 15112 18044 Respuesta: 200 - GET /api/users/profile/
INFO 2025-08-16 09:24:39,371 basehttp 15112 18044 "GET /api/users/profile/ HTTP/1.1" 200 634
INFO 2025-08-16 09:24:39,445 middleware 15112 8444 Petición: GET /api/dashboard/student_stats/ - IP: 127.0.0.1
INFO 2025-08-16 09:24:39,535 middleware 15112 8444 Respuesta: 200 - GET /api/dashboard/student_stats/
INFO 2025-08-16 09:24:39,675 basehttp 15112 8444 "GET /api/dashboard/student_stats/ HTTP/1.1" 200 894
INFO 2025-08-16 09:24:42,935 middleware 15112 6992 Petición: GET /api/notifications/ - IP: 127.0.0.1
INFO 2025-08-16 09:24:42,936 middleware 15112 22952 Petición: GET /api/notifications/ - IP: 127.0.0.1
INFO 2025-08-16 09:24:42,963 middleware 15112 22952 Respuesta: 200 - GET /api/notifications/
INFO 2025-08-16 09:24:42,964 middleware 15112 6992 Respuesta: 200 - GET /api/notifications/
INFO 2025-08-16 09:24:43,006 basehttp 15112 22952 "GET /api/notifications/ HTTP/1.1" 200 10121
INFO 2025-08-16 09:24:43,025 basehttp 15112 6992 "GET /api/notifications/ HTTP/1.1" 200 10121
INFO 2025-08-16 09:24:44,014 middleware 15112 11912 Petición: GET /api/applications/my_applications/ - IP: 127.0.0.1
INFO 2025-08-16 09:24:44,016 middleware 15112 11516 Petición: GET /api/applications/my_applications/ - IP: 127.0.0.1
INFO 2025-08-16 09:24:44,426 middleware 15112 11516 Respuesta: 200 - GET /api/applications/my_applications/
INFO 2025-08-16 09:24:44,429 middleware 15112 11912 Respuesta: 200 - GET /api/applications/my_applications/
INFO 2025-08-16 09:24:44,625 basehttp 15112 11516 "GET /api/applications/my_applications/?t=1755350684010&nocache=true HTTP/1.1" 200 33105
INFO 2025-08-16 09:24:44,643 basehttp 15112 11912 "GET /api/applications/my_applications/?t=1755350684009&nocache=true HTTP/1.1" 200 33105
INFO 2025-08-16 09:29:02,437 signals 22592 2960 Signals de notificaciones conectados exitosamente
INFO 2025-08-16 09:29:12,231 signals 4728 23468 Signals de notificaciones conectados exitosamente
INFO 2025-08-16 09:30:55,390 middleware 15112 14028 Petición: GET /api/calendar/events/student_events/ - IP: 127.0.0.1
INFO 2025-08-16 09:30:55,391 middleware 15112 19792 Petición: GET /api/calendar/events/student_events/ - IP: 127.0.0.1
INFO 2025-08-16 09:30:55,456 middleware 15112 14028 Respuesta: 200 - GET /api/calendar/events/student_events/
INFO 2025-08-16 09:30:55,467 middleware 15112 19792 Respuesta: 200 - GET /api/calendar/events/student_events/
INFO 2025-08-16 09:30:55,652 basehttp 15112 14028 "GET /api/calendar/events/student_events/ HTTP/1.1" 200 24479
INFO 2025-08-16 09:30:55,670 basehttp 15112 19792 "GET /api/calendar/events/student_events/ HTTP/1.1" 200 24479
INFO 2025-08-16 09:31:43,118 middleware 15112 13816 Petición: POST /api/calendar/events/ - IP: 127.0.0.1
INFO 2025-08-16 09:31:44,995 middleware 15112 13816 Respuesta: 201 - POST /api/calendar/events/
INFO 2025-08-16 09:31:45,092 basehttp 15112 13816 "POST /api/calendar/events/ HTTP/1.1" 201 848
INFO 2025-08-16 09:31:52,854 middleware 15112 17668 Petición: POST /api/token/verify/ - IP: 127.0.0.1
INFO 2025-08-16 09:31:52,854 middleware 15112 19560 Petición: POST /api/token/verify/ - IP: 127.0.0.1
INFO 2025-08-16 09:31:52,864 middleware 15112 19560 Respuesta: 200 - POST /api/token/verify/
INFO 2025-08-16 09:31:52,864 middleware 15112 17668 Respuesta: 200 - POST /api/token/verify/
INFO 2025-08-16 09:31:52,887 basehttp 15112 19560 "POST /api/token/verify/ HTTP/1.1" 200 127
INFO 2025-08-16 09:31:52,904 middleware 15112 10164 Petición: GET /api/users/profile/ - IP: 127.0.0.1
INFO 2025-08-16 09:31:52,904 basehttp 15112 17668 "POST /api/token/verify/ HTTP/1.1" 200 127
INFO 2025-08-16 09:31:52,904 middleware 15112 22904 Petición: GET /api/users/profile/ - IP: 127.0.0.1
INFO 2025-08-16 09:31:52,904 middleware 15112 10164 Respuesta: 200 - GET /api/users/profile/
INFO 2025-08-16 09:31:52,921 middleware 15112 22904 Respuesta: 200 - GET /api/users/profile/
INFO 2025-08-16 09:31:52,939 basehttp 15112 10164 "GET /api/users/profile/ HTTP/1.1" 200 634
INFO 2025-08-16 09:31:52,956 basehttp 15112 22904 "GET /api/users/profile/ HTTP/1.1" 200 634
INFO 2025-08-16 09:31:53,018 middleware 15112 13540 Petición: GET /api/calendar/events/student_events/ - IP: 127.0.0.1
INFO 2025-08-16 09:31:53,022 middleware 15112 22068 Petición: GET /api/calendar/events/student_events/ - IP: 127.0.0.1
INFO 2025-08-16 09:31:53,114 middleware 15112 22068 Respuesta: 200 - GET /api/calendar/events/student_events/
INFO 2025-08-16 09:31:53,120 middleware 15112 13540 Respuesta: 200 - GET /api/calendar/events/student_events/
INFO 2025-08-16 09:31:53,160 basehttp 15112 22068 "GET /api/calendar/events/student_events/ HTTP/1.1" 200 25577
INFO 2025-08-16 09:31:53,175 basehttp 15112 13540 "GET /api/calendar/events/student_events/ HTTP/1.1" 200 25577
INFO 2025-08-16 09:32:30,212 middleware 15112 14972 Petición: GET /api/evaluations/student-companies-to-evaluate/ - IP: 127.0.0.1
INFO 2025-08-16 09:32:30,212 middleware 15112 14516 Petición: GET /api/evaluations/student-companies-to-evaluate/ - IP: 127.0.0.1
INFO 2025-08-16 09:32:30,538 middleware 15112 14972 Respuesta: 200 - GET /api/evaluations/student-companies-to-evaluate/
INFO 2025-08-16 09:32:30,539 middleware 15112 14516 Respuesta: 200 - GET /api/evaluations/student-companies-to-evaluate/
INFO 2025-08-16 09:32:31,338 basehttp 15112 14972 "GET /api/evaluations/student-companies-to-evaluate/ HTTP/1.1" 200 3825
INFO 2025-08-16 09:32:31,340 basehttp 15112 14516 "GET /api/evaluations/student-companies-to-evaluate/ HTTP/1.1" 200 3825
INFO 2025-08-16 09:32:31,340 middleware 15112 17756 Petición: GET /api/evaluations/student-completed-evaluations/ - IP: 127.0.0.1
INFO 2025-08-16 09:32:31,349 middleware 15112 19112 Petición: GET /api/evaluations/student-completed-evaluations/ - IP: 127.0.0.1
INFO 2025-08-16 09:32:31,389 middleware 15112 17756 Respuesta: 200 - GET /api/evaluations/student-completed-evaluations/
INFO 2025-08-16 09:32:31,395 middleware 15112 19112 Respuesta: 200 - GET /api/evaluations/student-completed-evaluations/
INFO 2025-08-16 09:32:31,488 basehttp 15112 17756 "GET /api/evaluations/student-completed-evaluations/ HTTP/1.1" 200 2774
INFO 2025-08-16 09:32:31,491 basehttp 15112 19112 "GET /api/evaluations/student-completed-evaluations/ HTTP/1.1" 200 2774
INFO 2025-08-16 09:32:42,548 middleware 15112 4108 Petición: POST /api/evaluations/student-evaluate-company/ - IP: 127.0.0.1
INFO 2025-08-16 09:32:42,548 middleware 15112 4108 Respuesta: 400 - POST /api/evaluations/student-evaluate-company/
WARNING 2025-08-16 09:32:42,563 log 15112 4108 Bad Request: /api/evaluations/student-evaluate-company/
WARNING 2025-08-16 09:32:42,563 basehttp 15112 4108 "POST /api/evaluations/student-evaluate-company/ HTTP/1.1" 400 36
INFO 2025-08-16 09:32:56,604 middleware 15112 4912 Petición: GET /api/strikes/reports/company/ - IP: 127.0.0.1
INFO 2025-08-16 09:32:56,606 middleware 15112 5036 Petición: GET /api/strikes/reports/company/ - IP: 127.0.0.1
INFO 2025-08-16 09:32:56,626 middleware 15112 4912 Respuesta: 200 - GET /api/strikes/reports/company/
INFO 2025-08-16 09:32:56,633 middleware 15112 5036 Respuesta: 200 - GET /api/strikes/reports/company/
INFO 2025-08-16 09:32:56,786 basehttp 15112 4912 "GET /api/strikes/reports/company/ HTTP/1.1" 200 639
INFO 2025-08-16 09:32:56,800 basehttp 15112 5036 "GET /api/strikes/reports/company/ HTTP/1.1" 200 639
INFO 2025-08-16 09:32:58,315 middleware 15112 21584 Petición: GET /api/calendar/events/company_events/ - IP: 127.0.0.1
INFO 2025-08-16 09:32:58,315 middleware 15112 18720 Petición: GET /api/calendar/events/company_events/ - IP: 127.0.0.1
INFO 2025-08-16 09:32:58,514 middleware 15112 18720 Respuesta: 200 - GET /api/calendar/events/company_events/
INFO 2025-08-16 09:32:58,515 middleware 15112 21584 Respuesta: 200 - GET /api/calendar/events/company_events/
INFO 2025-08-16 09:32:58,632 basehttp 15112 18720 "GET /api/calendar/events/company_events/ HTTP/1.1" 200 47765
INFO 2025-08-16 09:32:58,632 middleware 15112 20560 Petición: GET /api/projects/company_projects/ - IP: 127.0.0.1
INFO 2025-08-16 09:32:58,665 basehttp 15112 21584 "GET /api/calendar/events/company_events/ HTTP/1.1" 200 47765
